lo_extended_price,fused_filter_probe_kernel_time_gpu,fused_query_execution_time,nonfused_filter_kernel_time_gpu,nonfused_probe_kernel_time_gpu,nonfused_query_execution_time
100000,6.0969,11.3887,2.7136,16.7137,19.7694
200000,6.0527,6.50086,2.67571,16.3901,19.5158
300000,6.04467,6.45171,2.65216,16.2755,19.3755
400000,6.04774,6.45578,2.62451,16.001,19.0685
500000,6.0672,6.47168,2.61632,15.8239,18.8707
600000,6.07027,6.5152,2.58746,15.6058,18.6083
700000,6.04979,6.45267,2.57946,15.4153,18.4176
800000,6.05798,6.50986,2.54259,15.2269,18.1923
900000,6.05069,6.45382,2.5344,15.0209,17.9804
1000000,6.05696,6.46854,2.52336,14.8224,17.8616
1100000,6.06106,6.46266,2.4943,14.6257,17.5587
1200000,6.03546,6.456,2.46976,14.3974,17.3103
1300000,6.04877,6.48534,2.45965,14.2264,17.1388
1400000,6.04458,6.46227,2.44019,13.9909,16.8632
1500000,6.02829,6.46365,2.42074,13.8044,16.6748
1600000,6.0488,6.46992,2.39907,13.5975,16.4327
1700000,6.0632,6.47869,2.37978,13.4217,16.2474
1800000,6.03546,6.44992,2.3592,13.2311,16.0292
1900000,6.05389,6.48749,2.3512,12.9997,15.7941
2000000,6.04483,6.48653,2.32845,12.8145,15.5933
2100000,6.02944,6.45274,2.31219,12.5633,15.3073
2200000,6.0632,6.48438,2.28781,12.3781,15.1055
2300000,6.04365,6.45686,2.27533,12.1989,14.8998
2400000,6.05293,6.47709,2.24973,11.9972,14.6995
2500000,6.06413,6.49146,2.23939,11.7864,14.4595
2600000,6.0345,6.44989,2.21203,11.6007,14.2519
2700000,6.0457,6.46589,2.19434,11.4391,14.0789
2800000,6.04365,6.46858,2.20243,11.138,13.7816
2900000,6.05286,6.47517,2.15859,11.0119,13.6446
3000000,6.05075,6.48986,2.1463,10.8063,13.4522
3100000,6.05389,6.47216,2.12275,10.5779,13.1421
3200000,6.03978,6.45088,2.09613,10.4602,13.0092
3300000,6.04979,6.51347,2.08589,10.2244,12.7478
3400000,6.04886,6.46966,2.05517,10.0505,12.5475
3500000,6.04058,6.4984,2.05194,9.85888,12.431
3600000,6.04979,6.55226,2.0225,9.64608,12.1795
3700000,6.05286,6.48874,2.00192,9.3952,11.8258
3800000,6.0416,6.45066,1.99885,9.13306,11.5676
3900000,6.07846,6.52822,1.96096,9.01926,11.4183
4000000,6.04666,6.48131,1.94358,8.83814,11.2164
4100000,6.03955,6.46531,1.91898,8.56269,10.926
4200000,6.07232,6.48886,1.90362,8.34662,10.6746
4300000,6.04467,6.45971,1.88717,8.2217,10.5619
4400000,6.04672,6.46947,1.85978,8.01485,10.3077
4500000,6.0457,6.47165,1.84115,7.78445,10.056
4600000,6.04269,6.46061,1.8176,7.60115,9.84995
4700000,6.07523,6.49062,1.792,7.28474,9.51766
4800000,6.05184,6.50157,1.77962,7.10861,9.33763
4900000,6.04262,6.45792,1.75923,6.86182,9.056
5000000,6.04877,6.47958,1.74182,6.65891,8.84624
5100000,6.04778,6.48128,1.72544,6.44688,8.60502
5200000,6.04461,6.47837,1.71008,6.23318,8.37606
5300000,6.03853,6.47398,1.69267,6.03238,8.1647
5400000,6.05184,6.46797,1.67622,5.82038,7.93466
5500000,6.05594,6.48019,1.66182,5.62586,7.75139
5600000,6.06198,6.48698,1.64557,5.40979,7.48304
5700000,6.04672,6.46195,1.63123,5.20298,7.26675
5800000,6.04797,6.48656,1.61699,5.00419,7.05437
5900000,6.05594,6.50906,1.60563,4.80051,6.8289
6000000,6.0457,6.46061,1.59027,4.6151,6.64349
6100000,6.06925,6.50746,1.57718,4.41958,6.41402
6200000,6.04979,6.46355,1.56678,4.22934,6.21869
6300000,6.08051,6.49693,1.55546,4.0457,6.03107
6400000,6.06202,6.48864,1.54234,3.86467,5.83917
6500000,6.05491,6.46365,1.53389,3.69539,5.6656
6600000,6.03955,6.46246,1.52064,3.51949,5.4593
6700000,6.03456,6.46096,1.51142,3.34336,5.30317
6800000,6.05491,6.48947,1.50323,3.17334,5.09997
6900000,6.04672,6.46701,1.49386,3.00749,4.94304
7000000,6.06925,6.47523,1.48275,2.83971,4.76496
7100000,6.04058,6.46986,1.4744,2.68186,4.58822
7200000,6.04672,6.46285,1.46534,2.52214,4.43539
7300000,6.07437,6.49923,1.45901,2.37261,4.25203
7400000,6.06413,6.51238,1.46442,2.21613,4.15859
7500000,6.05696,6.48189,1.44179,2.07462,3.9415
7600000,6.06003,6.47523,1.43482,1.92922,3.79114
7700000,6.02522,6.46829,1.42746,1.78995,3.65622
7800000,6.08154,6.55091,1.41926,1.65674,3.49664
7900000,6.05798,6.47597,1.41494,1.52883,3.38349
8000000,6.04467,6.46387,1.40493,1.408,3.23939
8100000,6.04979,6.49411,1.39782,1.28819,3.10989
8200000,6.06003,6.56704,1.40275,1.18874,3.07862
8300000,6.05901,6.46861,1.38957,1.08544,2.89779
8400000,6.08666,6.58582,1.38752,1.00045,2.86003
8500000,6.06106,6.47984,1.37846,0.91648,2.71421
8600000,6.04467,6.53421,1.37853,0.850944,2.77987
8700000,6.03334,6.45206,1.37114,0.784576,2.58698
8800000,6.04986,6.4777,1.36704,0.72192,2.52723
8900000,6.03562,6.48291,1.36192,0.661504,2.4505
9000000,6.06086,6.50454,1.35782,0.5928,2.36973
9100000,6.04461,6.49702,1.35373,0.529632,2.31002
9200000,6.0416,6.45594,1.35066,0.461824,2.25139
9300000,6.04262,6.46381,1.34554,0.398336,2.17955
9400000,6.03834,6.44672,1.34451,0.338112,2.09981
9500000,6.06106,6.48499,1.33837,0.27632,2.05069
9600000,6.04774,6.49437,1.33523,0.221088,2.00512
9700000,6.04573,6.45734,1.33427,0.175936,1.94429
9800000,6.06413,6.47504,1.33018,0.131072,1.89325
9900000,6.05082,6.48774,1.32829,0.100384,1.85552
10000000,6.03238,6.43971,1.32506,0.07168,1.82707
10100000,6.0609,6.51245,1.32403,0.052224,1.80157
10200000,6.0457,6.45946,1.32496,0.038912,1.79104
10300000,6.03462,6.46259,1.32506,0.031904,1.77978
10400000,6.03638,6.4615,1.32506,0.026624,1.79082
10500000,,0.338464,,,0.38432
